# Checkers 10x10 game record
# rules: no_mandatory_capture, flying_kings
white_player: rave
white_heuristic: base
white_seed: 40028
black_player: uct
black_heuristic: base
black_seed: 40029
iterations: 500
max_moves: 200
winner: black
total_moves: 108
white_avg_nodes: 510.7
black_avg_nodes: 509.9
moves:
6,9 5,8
3,8 4,9
7,8 6,9
3,6 4,7
6,5 5,6
4,7 6,5
5,8 4,7
4,9 5,8
8,9 7,8
5,8 3,6
9,8 8,9
3,6 4,7
7,4 5,6 3,8
3,2 4,1
8,5 7,4
4,1 5,0
7,4 6,5
3,4 4,3
6,3 5,4
2,9 4,7
6,7 5,6
4,3 5,2
9,4 8,5
2,5 3,6
5,4 4,3
2,1 3,2
4,3 2,1
4,7 5,8
5,6 4,5
5,8 6,7
8,5 7,4
5,2 6,3
6,5 5,6
2,3 3,4
5,6 4,7
3,6 5,8
4,5 3,6
3,4 4,5
3,6 5,4
6,7 8,5
7,4 6,5
8,5 9,4
6,5 5,6
9,4 6,7
5,4 4,3
6,7 9,4
4,3 3,2
1,8 2,9
7,8 6,7
2,7 3,6
9,6 8,5
6,3 7,4
8,5 6,3
2,9 3,8
6,1 5,2
5,8 7,6 9,8
5,6 4,7
9,8 4,3
8,9 7,8
9,4 6,7
4,7 2,9
6,7 8,9
6,9 5,8
8,9 2,3
8,3 7,4
4,3 6,1 8,3 4,7 6,9
8,1 7,2
6,9 4,7
9,2 8,1
5,0 6,1
7,0 5,2
4,7 9,2
5,2 4,3
3,0 4,1
4,3 3,4
9,2 7,0 2,5
3,2 5,0
2,5 4,3
9,0 8,1
4,3 6,5
6,3 5,2
6,5 7,4
5,2 4,3
7,4 8,3
7,2 9,4
3,6 4,5
9,4 8,3
2,3 3,4
8,1 7,0
4,5 5,6
8,3 7,2
3,4 6,1 9,4
2,9 1,8
9,4 7,6
7,0 6,1
7,6 8,7
5,0 4,1
8,7 9,6
4,1 3,0
9,6 6,9
6,1 5,2
6,9 9,6
5,2 4,3
9,6 6,9
4,3 3,2
6,9 2,5
3,2 2,3
5,6 6,7
