# Checkers 10x10 game record
# rules: no_mandatory_capture, flying_kings
white_player: progressive
white_heuristic: base
white_seed: 40028
black_player: uct
black_heuristic: base
black_seed: 40029
iterations: 4000
max_moves: 200
winner: white
total_moves: 111
white_avg_nodes: 3953.4
black_avg_nodes: 3951.8
moves:
6,7 5,6
3,2 4,1
6,9 5,8
4,1 5,0
7,8 6,7
3,4 4,3
5,8 4,7
3,0 4,1
6,7 5,8
2,3 3,4
5,8 4,9
2,1 3,0
5,6 4,5
4,3 5,2
4,5 2,3
3,6 5,8
7,6 6,7
5,8 7,6 5,4
8,7 7,8
1,2 3,4
6,1 4,3 6,5
3,4 4,5
9,6 8,7
3,8 4,7
6,3 5,4
4,5 5,6
5,4 4,3
5,0 6,1
7,8 6,9
2,7 3,8
4,3 3,2
4,7 5,8
8,7 7,8
5,6 6,7
3,2 2,3
2,5 3,6
7,2 5,0 3,2
3,0 4,1
3,2 5,0
6,7 7,6
4,9 2,7 4,5
5,8 6,7
8,1 7,2
1,6 2,7
6,5 5,6
1,4 3,2
6,9 5,8
0,5 1,6
5,8 4,7
0,3 1,2
4,7 3,6
1,2 2,1
7,4 6,5
7,6 8,7
3,6 2,5
8,7 9,6
4,5 3,6
9,6 6,3 8,1
6,5 5,4
6,7 4,5 6,3
2,5 1,4
3,2 4,1
9,0 7,2 5,4
2,1 3,0
1,4 0,5
2,7 4,5 6,3
0,5 2,7 9,0
4,1 5,2
7,8 6,9
5,2 6,1
5,0 4,1
2,9 3,8
7,0 5,2
0,1 1,2
9,2 8,1
1,2 2,1
6,9 5,8
3,8 4,9
5,8 4,7
2,1 3,2
8,9 7,8
1,8 2,9
4,1 2,3
0,7 1,6
2,3 1,2
0,9 1,8
8,3 7,2
1,6 2,7
1,2 0,3
2,7 3,6
9,8 8,9
3,6 5,8
0,3 6,9
3,0 4,1
5,2 3,0
1,8 2,7
7,2 6,1
2,7 3,8
9,4 8,5
1,0 2,1
3,0 1,2
3,8 4,7
6,9 0,3
4,9 5,8
0,3 6,9
2,9 3,8
6,1 5,0
3,8 4,9
8,5 7,6
4,9 5,8
6,9 0,3
