# Checkers 10x10 game record
# rules: no_mandatory_capture, flying_kings
white_player: progressive
white_heuristic: center
white_seed: 30121
black_player: progressive
black_heuristic: edge
black_seed: 30122
iterations: 2000
max_moves: 200
winner: white
total_moves: 93
white_avg_nodes: 2000.5
black_avg_nodes: 2000.8
moves:
6,1 5,0
3,2 4,1
6,7 5,8
2,1 3,2
6,3 5,2
3,8 4,9
5,8 4,7
3,6 5,8
7,8 6,7
1,2 2,1
8,7 7,8
0,3 1,2
5,2 4,3
2,7 3,8
9,8 8,7
1,6 2,7
7,2 6,1
3,4 5,2
6,9 4,7
0,5 1,6
7,4 6,3
2,3 3,4
8,5 7,4
2,5 3,6
6,1 4,3 2,5 0,3
3,6 5,8
8,3 7,2
4,1 5,2
0,3 3,6
5,8 6,9
7,2 6,1
3,2 4,1
3,6 1,4
4,9 5,8
9,4 8,3
1,6 2,5
6,7 5,6
2,5 0,3
7,8 6,7
6,9 7,8
8,7 6,9 4,7
0,3 1,4
5,0 3,2
0,7 1,6
8,3 7,2
2,7 3,6
4,7 2,5 0,7
1,2 2,3
6,3 4,1
2,3 3,4
0,7 4,3
3,0 5,2 3,4
3,2 2,3
3,4 1,2
5,6 4,5
1,4 2,5
4,5 3,6
2,5 4,7
9,2 8,3
1,2 2,3
6,5 5,4
2,3 3,2
9,6 8,5
3,8 4,9
8,9 7,8
4,7 5,8
7,4 6,5
2,9 3,8
7,8 6,9
3,2 4,1
6,9 4,7 2,9 0,7
4,1 5,0
8,5 7,4
4,9 5,8
6,7 4,9
0,9 1,8
0,7 2,9
2,1 3,0
2,9 5,6
1,0 2,1
7,4 6,3
3,0 4,1
5,6 3,4
0,1 1,0
3,4 0,1
4,1 5,2
8,3 7,4
2,1 3,2
0,1 7,8
3,2 4,3
7,8 1,2
1,0 2,1
5,4 3,2 1,0
